station,pos,order
87384008,"0",0
87381111,"0",1
87381129,"0",2
87381137,"0",3
87382002,"0",4
87386300,"00",0
87386003,"00",1
87386318,"00",2
87386409,"00",3
87386417,"00",4
87386425,"00",5
87381657,"00",6
87381459,"00",7
87334482,"00",8
87381905,"00",9
87382499,"00",10
87382655,"00",11
87382200,"01",0
87382218,"01",1
87382382,"01",2
87382374,"01",3
87382366,"01",4
87382358,"01",5
87382259,"010",0
87382267,"010",1
87382432,"010",2
87382440,"010",3
87382457,"010",4
87382465,"010",5
87382473,"010",6
87382481,"010",7
87382812,"0100",0
87366922,"0100",1
87382804,"0100",2
87393876,"0101",0
87382341,"011",0
87382333,"011",1
87382887,"011",2
87382879,"011",3
87382861,"011",4
